GameDate,Stadium,Status,StartTime,HomeTeam,AwayTeam,HomeScore,AwayScore,HomePitcher,AwayPitcher,WinPitcher,SavePitcher,LosePitcher
20250322,잠실,경기종료,14:00,LG,롯데,12,2,,,치리노스,,반즈
20250322,문학,경기종료,14:00,SSG,두산,6,5,,,조병현,,이영하
20250322,대구,경기종료,14:00,삼성,키움,13,5,,,후라도,,로젠버그
20250322,수원,경기종료,14:00,KT,한화,3,4,,,박상원,주현상,김민수
20250322,광주,경기종료,14:00,KIA,NC,9,2,,,전상현,,전사민
20250323,잠실,경기종료,14:00,LG,롯데,10,2,,,손주영,,박세웅
20250323,문학,경기종료,14:00,SSG,두산,5,2,,,김광현,조병현,잭로그
20250323,대구,경기종료,14:00,삼성,키움,11,7,,,양창섭,김재윤,하영민
20250323,수원,경기종료,14:00,KT,한화,5,4,,,손동현,,한승혁
20250323,광주,경기종료,14:00,KIA,NC,4,5,,,라일리,류진욱,양현종
20250325,잠실,경기종료,18:30,LG,한화,5,0,,,에르난데스,,박상원
20250325,문학,경기종료,18:30,SSG,롯데,2,3,,,박준우,박진,조병현
20250325,대구,경기종료,18:30,삼성,NC,14,5,,,최원태,,최성영
20250325,수원,경기종료,18:30,KT,두산,8,3,,,김민수,,김호준
20250325,광주,경기종료,18:30,KIA,키움,11,6,,,올러,,김윤하
20250326,잠실,경기종료,18:30,LG,한화,4,0,,,임찬규,,엄상백
20250326,문학,경기종료,18:30,SSG,롯데,3,1,,,송영진,노경은,김진욱
20250326,대구,경기종료,18:30,삼성,NC,6,8,,,신민혁,,이승현
20250326,수원,경기종료,18:30,KT,두산,2,3,,,최용,김택연,소형준
20250326,광주,경기종료,18:30,KIA,키움,10,17,,,정현우,,윤영철
20250327,잠실,경기종료,18:30,LG,한화,2,1,,,박명근,김강률,한승혁
20250327,문학,경기종료,18:30,SSG,롯데,5,2,,,김건우,조병현,박준우
20250327,대구,경기종료,18:30,삼성,NC,5,11,,,손주환,,이재희
20250327,수원,경기종료,18:30,KT,두산,4,3,,,오원석,박영현,김유성
20250327,광주,경기종료,18:30,KIA,키움,3,5,,,주우,박윤성,정해영
20250328,잠실,경기종료,18:30,두산,삼성,2,0,,,콜어빈,김택연,후라도
20250328,사직,경기종료,18:30,롯데,KT,0,2,,,헤이수스,박영현,반즈
20250328,창원,경기종료,18:30,NC,LG,4,8,,,백현,이지강,한재승
20250328,고척,경기종료,18:30,키움,SSG,9,3,,,로젠버그,,앤더슨
20250328,대전(신),경기종료,18:30,한화,KIA,7,2,,,폰세,,전상현
20250329,고척,경기종료,14:00,키움,SSG,3,1,,,하영민,주승우,김광현
20250329,대전(신),경기종료,14:00,한화,KIA,5,4,,,김종수,김서현,조상우
20250329,잠실,경기종료,17:00,두산,삼성,2,13,,,김태훈,,잭로그
20250329,사직,경기종료,17:00,롯데,KT,3,1,,,박세웅,김원중,쿠에바스
20250329,창원,경기종료,17:00,NC,LG,4,14,,,손주영,,라일리
20250330,잠실,경기종료,14:00,두산,삼성,2,3,,,레예스,김재윤,최원준
20250330,사직,경기종료,14:00,롯데,KT,4,4,,,,,
20250330,창원,경기취소,14:00,NC,LG,,,김태경,에르난데스,,,
20250330,고척,경기종료,14:00,키움,SSG,2,8,,,문원,,김윤하
20250330,대전(신),경기종료,14:00,한화,KIA,3,5,,,황동하,정해영,이태양
20250401,잠실,경기취소,18:30,두산,키움,,,최승용,정현우,,,
20250401,창원,경기취소,18:30,NC,SSG,,,신민혁,송영진,,,
20250401,수원,경기취소,18:30,KT,LG,,,소형준,에르난데스,,,
20250401,광주,경기취소,18:30,KIA,삼성,,,윤영철,최원태,,,
20250401,대전(신),경기취소,18:30,한화,롯데,,,엄상백,김진욱,,,
20250402,잠실,경기종료,18:30,두산,키움,5,3,,,이영하,김택연,박윤성
20250402,창원,경기취소,18:30,NC,SSG,,,,,,,
20250402,수원,경기종료,18:30,KT,LG,9,5,,,김민수,,에르난데스
20250402,광주,경기종료,18:30,KIA,삼성,2,4,,,백정현,김재윤,전상현
20250402,대전(신),경기종료,18:30,한화,롯데,2,6,,,김진욱,,문동주
20250403,잠실,경기종료,18:30,두산,키움,6,1,,,콜어빈,,로젠버그
20250403,창원,경기취소,18:30,NC,SSG,,,,,,,
20250403,수원,경기종료,18:30,KT,LG,1,5,,,임찬규,박명근,헤이수스
